,created_at,text,source,author_id,lang,id,public_metrics,reply_settings,conversation_id
0,2021-08-12T20:40:58.000Z,"Staff, volunteers in B.C. senior care centres must be vaccinated by Oct. 12 https://t.co/pOBgXML70d",TweetDeck,43355844,en,1425920266648043524,"{'retweet_count': 4, 'reply_count': 1, 'like_count': 11, 'quote_count': 0}",everyone,1425920266648043524
1,2021-04-30T14:54:00.000Z,COVID-19 vaccine uptake among seniors in Canada is higher than the flu shot https://t.co/afZ1AK9BIX,TweetDeck,43355844,en,1388144610476797952,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 10, 'quote_count': 0}",everyone,1388144610476797952
2,2021-03-16T17:13:41.000Z,NACI says Oxford-AstraZeneca COVID-19 vaccine now recommended for use on seniors https://t.co/QwkIHiooMw,TweetDeck,43355844,en,1371872307866656774,"{'retweet_count': 1, 'reply_count': 3, 'like_count': 1, 'quote_count': 1}",everyone,1371872307866656774
3,2020-04-14T18:45:14.000Z,More older Canadians die as COVID-19 toll passes 800; economy could shrink 6.2 per cent https://t.co/NS9enmlYfy https://t.co/RS8bSWpNcU,TweetDeck,43355844,en,1250133026484424704,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",everyone,1250133026484424704
4,2020-04-14T12:43:17.000Z,"Elderly main victims of COVID-19 and sci-fi writers on the pandemic; In The News for April 14 for @CdnPressNews
https://t.co/P1aAJ1NMVF",TweetDeck,43355844,en,1250041938574745601,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,1250041938574745601
5,2020-04-13T12:31:57.000Z,"Federal officials to provide COVID-19 update focused on seniors, foreign workers https://t.co/BdVzZ33wFo #cdnpoli",TweetDeck,43355844,en,1249676700100767744,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",everyone,1249676700100767744
6,2019-03-25T15:25:56.000Z,"Police in Florida have launched a double homicide investigation after an elderly couple from Quebec was found dead in their mobile home.
https://t.co/zvJSST2jRF",TweetDeck,43355844,en,1110201154946908161,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",everyone,1110201154946908161
7,2019-01-21T17:50:30.000Z,Coroner probes exposure death of Gilles Duceppe's mother https://t.co/TtfDXfl3cU,TweetDeck,43355844,en,1087407098621816834,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",everyone,1087407098621816834
8,2018-12-21T09:23:16.000Z,"Elmer Courchene, a well-known and respected First Nations elder, died on Dec. 5 after a battle with lung cancer. He was 82. Via @KellyGerMalone 
https://t.co/DcjYOersEH",Twitter Web Client,43355844,en,1076045426707611649,"{'retweet_count': 4, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",everyone,1076045426707611649
9,2018-11-14T03:23:43.000Z,"A federal government initiative to support Indigenous conservation efforts will help strengthen reconciliation across Canada, chiefs, leaders and elders said Tuesday.
https://t.co/CgyJeO1tBu",Twitter Web Client,43355844,en,1062546594678169601,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",everyone,1062546594678169601
10,2018-08-13T11:15:03.000Z,"Prime minister to meet seniors, visit fair during visit to Prince Edward Island https://t.co/yrn8HvbOEh #cdnpoli",TweetDeck,43355844,en,1028963136014090240,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,1028963136014090240
11,2018-07-17T09:33:37.000Z,Physicians urge Ottawa to pay another $21B over the next decade for seniors health care.  https://t.co/SsKgj3p7jI,Twitter Web Client,43355844,en,1019153136131497986,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 6, 'quote_count': 1}",everyone,1019153136131497986
12,2018-06-25T18:16:00.000Z,"The feds are spending $75M in N.B. to study how best to help Canadians live well as they age 
https://t.co/ciPZfpVmb8 https://t.co/jHi4zVDaXR",TweetDeck,43355844,en,1011312065472970760,"{'retweet_count': 16, 'reply_count': 44, 'like_count': 21, 'quote_count': 25}",everyone,1011312065472970760
13,2018-03-12T12:41:42.000Z,Montreal seniors' residence holds birthday party for its 20 centenarians https://t.co/UMLfSvVXrO https://t.co/6IHSlhT8yb,TweetDeck,43355844,en,973177210717818880,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 5, 'quote_count': 1}",everyone,973177210717818880
14,2018-02-13T09:59:02.000Z,Nunavut project to collect Inuit elder testimony on Franklin shipwreck sites.  https://t.co/j63jbKeOPW,Twitter Web Client,43355844,en,963351801209786369,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 1}",everyone,963351801209786369
15,2018-01-11T10:08:29.000Z,"Winnipeg couple dead in Jamaica, family says they were killed during burglary. https://t.co/NcpdDAtDbx",Twitter Web Client,43355844,en,951395379878260736,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",everyone,951395379878260736
